timestamp,pod,container,memory_bytes,phase
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13354459136,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16228352,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,1986560,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,19746816,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,13163978752,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15745024,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6516736,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,24907776,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13474455552,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15028224,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,2310144,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,idle
2026-08-05T17:27:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24489984,idle
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13338488832,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16179200,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,2093056,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,19632128,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,13164040192,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15740928,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6504448,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,25124864,baseline
2026-08-05T17:27:53Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13469351936,baseline
