timestamp,pod,container,memory_bytes,phase
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18862080,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11730980864,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15515648,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6569984,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1105506304,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13165068288,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,16490496,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1916928,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:17:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24408064,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13365854208,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16322560,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6475776,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18919424,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11675738112,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15417344,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6574080,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1106214912,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13165264896,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,16470016,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1798144,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:18:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24432640,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13388070912,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16138240,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6451200,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18731008,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11755167744,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15699968,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6918144,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1106894848,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13164916736,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,16576512,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1880064,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:18:54Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24387584,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13347422208,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16490496,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6664192,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,19034112,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11618516992,baseline
