edition,threads,duration_sec,tps,qps,lat_avg,lat_p95,lat_p99,tx_total,errors,reconnects
standard,4,300,206.64,5854.30,19.35,51.02,N/A,N/A,errors:,0
standard,8,300,345.15,9778.80,23.17,63.32,N/A,N/A,errors:,0
advanced,4,300,75.45,2151.68,53.13,142.39,N/A,N/A,errors:,0
advanced,8,300,111.50,3161.47,71.71,196.89,N/A,N/A,errors:,0
